entity_id,tenant_id,portal_id,title,type,system_key,object_type_key,page_id,nav_id,classification_now,classification_target,target_registry
page:1,1,1,Главная,page,runtime.office_home,,1,1,special_office_home,page,pages_registry
page:7,1,1,Библи,document_library,,,7,12,document_library_entry,library,libraries_registry
page:8,1,1,ваи,,,,8,,draft_page,legacy_orphan,archive_review
page:34,1,1,Оргструктура компании,,,,34,,draft_page,legacy_orphan,archive_review
page:35,1,1,Чат,page,runtime.chat,,35,43,runtime_module_entry,module,modules_registry
page:36,1,1,Уведомления,page,runtime.notifications,,36,44,runtime_module_entry,module,modules_registry
page:38,1,1,Отчеты,,,,38,,draft_page,legacy_orphan,archive_review
page:39,1,1,Календарь,,,,39,,draft_page,legacy_orphan,archive_review
page:40,1,1,Администрирование,page,,,40,48,user_page,tenant_administration,tenant_administration
page:41,1,1,Настройка системы,page,,,41,49,user_page,tenant_administration,tenant_administration
page:45,1,1,Запевалов,,,,45,,draft_page,legacy_orphan,archive_review
page:49,1,1,Тестовая,,,,49,,draft_page,legacy_orphan,archive_review
page:50,1,1,первая,,,,50,,draft_page,legacy_orphan,archive_review
page:51,1,1,Страница,,,,51,,orphan_page,legacy_orphan,archive_review
page:52,1,1,Вторая,,,,52,,orphan_page,legacy_orphan,archive_review
page:54,1,1,Разработка продукта,,,,54,,draft_page,legacy_orphan,archive_review
page:55,1,1,Разработка,,,,55,,workspace_page,workspace,workspaces_registry
page:56,1,1,Карта платформы,,,,56,,draft_page,legacy_orphan,archive_review
page:57,1,1,Карта платформы ЯсноПро,,,,57,,workspace_page,workspace,workspaces_registry
page:58,1,1,Тех. поддержка,,,,58,,workspace_page,workspace,workspaces_registry
page:59,1,1,Продажи,,,,59,,draft_page,legacy_orphan,archive_review
page:60,1,1,Отдел кадров,,,,60,,draft_page,legacy_orphan,archive_review
page:61,1,1,Управление платформой,,,,61,,workspace_page,workspace,workspaces_registry
page:62,1,1,Отдел кадров,,,,62,,workspace_page,workspace,workspaces_registry
page:346,1,1,Разработкаа,,,,346,,orphan_page,legacy_orphan,archive_review
page:459,1,1,Архитектура ЯсноПро,,,,459,,workspace_page,workspace,workspaces_registry
page:561,1,1,Главная,page,runtime.office_home,,561,329,special_office_home,page,pages_registry
page:574,1,1,Главная,page,runtime.office_home,,574,340,special_office_home,page,pages_registry
page:597,1,1,Главная,page,runtime.office_home,,597,354,special_office_home,page,pages_registry
page:608,1,1,Чат,page,runtime.chat,,608,357,runtime_module_entry,module,modules_registry
page:622,1,1,Главная,page,runtime.office_home,,622,370,special_office_home,page,pages_registry
page:713,1,1,Тестовая библиотека,,,,713,,orphan_page,legacy_orphan,archive_review
page:739,1,1,Главная,page,runtime.office_home,,739,413,special_office_home,page,pages_registry
page:786,1,1,Главная,page,runtime.office_home,,786,449,special_office_home,page,pages_registry
page:790,1,1,Календарь,page,runtime.calendar,,790,452,runtime_module_entry,module,modules_registry
page:347,2,2,Главная,page,runtime.office_home,,347,219,special_office_home,page,pages_registry
page:376,2,2,Чат,page,runtime.chat,,376,230,runtime_module_entry,module,modules_registry
page:377,2,2,Уведомления,page,runtime.notifications,,377,233,runtime_module_entry,module,modules_registry
page:381,2,2,Администрирование,page,,,381,239,user_page,tenant_administration,tenant_administration
page:382,2,2,Настройка системы,page,,,382,240,user_page,tenant_administration,tenant_administration
page:791,2,2,Календарь,page,runtime.calendar,,791,453,runtime_module_entry,module,modules_registry
page:624,21,21,Главная,page,runtime.office_home,,624,371,special_office_home,page,pages_registry
page:625,21,21,Библи,document_library,,,625,380,document_library_entry,library,libraries_registry
page:649,21,21,Оргструктура компании,,,,649,,draft_page,legacy_orphan,archive_review
page:650,21,21,Чат,page,runtime.chat,,650,375,runtime_module_entry,module,modules_registry
page:651,21,21,Уведомления,page,runtime.notifications,,651,379,runtime_module_entry,module,modules_registry
page:653,21,21,Календарь,,,,653,,draft_page,legacy_orphan,archive_review
page:654,21,21,Администрирование,page,,,654,384,user_page,tenant_administration,tenant_administration
page:655,21,21,Настройка системы,page,,,655,385,user_page,tenant_administration,tenant_administration
page:659,21,21,Запевалов,,,,659,,draft_page,legacy_orphan,archive_review
