tenant_id,portal_id,tenant_name,tenant_type,page_id,title,slug,status,navigation_item_id,navigation_type,navigation_system_key,navigation_object_type_key,runtime_key_derived,classification,displays,location_summary,recommended_place,system_user_decision,risk
1,1,Корпоративный портал,DEV,1,Главная,page-1,published,1,page,runtime.office_home,,runtime.office_home,special_office_home,CMS canvas (office home),"Office sidebar, Studio Pages registry",Studio Modules (not Pages),special,medium — protected home
1,1,Корпоративный портал,DEV,7,Библи,page-7,published,12,document_library,,,,document_library_entry,document library,"Office sidebar, Studio Pages registry",Documents / Office nav,user,low
1,1,Корпоративный портал,DEV,8,ваи,page-8,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,34,Оргструктура компании,page-34,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,35,Чат,page-35,published,43,page,,,runtime.chat,runtime_module_entry,runtime chat UI,Studio Pages registry,Studio Modules (not Pages),system,medium — page-backed runtime module
1,1,Корпоративный портал,DEV,36,Уведомления,page-36,published,44,page,runtime.notifications,,runtime.notifications,runtime_module_entry,notifications overlay/page,"Office sidebar, Studio Pages registry",Studio Modules (not Pages),system,medium — page-backed runtime module
1,1,Корпоративный портал,DEV,38,Отчеты,page-38,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,39,Календарь,page-39,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,40,Администрирование,page-40,published,48,page,,,,user_page,CMS canvas,"Office sidebar, Studio Pages registry",Studio Pages,user,low
1,1,Корпоративный портал,DEV,41,Настройка системы,page-41,published,49,page,,,,user_page,CMS canvas,"Office sidebar, Studio Pages registry",Studio Pages,user,low
1,1,Корпоративный портал,DEV,45,Запевалов,page-45,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,49,Тестовая,page-49,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,50,первая,page-50,draft,,,,,,draft_page,unknown/empty/draft,Studio Pages registry,Archive/review only,needs_review,low — orphan draft
1,1,Корпоративный портал,DEV,51,Страница,page-51,published,,,,,,orphan_page,unknown/empty/draft,Studio Pages registry,Archive/review only,legacy,medium — unused page row
